Notable companies,,,,,,,,,,,,,
Name,Industry,Sector,Headquarters,Founded,Notes,,,,,,,,
JDB Group,Consumer goods,Soft drinks,Dongguan,1995,Beverage,,,,,,,,
Jiangling Motors,Consumer goods,Automobiles,Nanchang,1952,Automotive,,,,,,,,
Jianlibao Group,Consumer goods,Soft drinks,Foshan,1984,Soft drink,,,,,,,,
Jiuguang Department Store,Consumer services,Broadline retailers,Shanghai,2004,Retail,,,,,,,,
Joyoung,Consumer goods,Durable household products,Jinan,1994,Home appliances,,,,,,,,
JXD,Industrials,Electronic equipment,Shenzhen,1995,Consumer electronics and games,,,,,,,,
Kingsoft,Technology,Software,Beijing,1989,Software,,,,,,,,
Kingway Brewery,Consumer goods,Brewers,Shenzhen,1990,State-owned brewery,,,,,,,,
Lenovo,Consumer goods,Consumer electronics,Beijing,1984,"Computers, tablets, mobile phones",,,,,,,,
Li-Ning,Consumer goods,Footwear,Beijing,1990,Sporting goods,,,,,,,,
Little Sheep Group,Consumer services,Restaurants & bars,Baotou,1999,"Restaurants, condiments",,,,,,,,
Loncin Holdings,Consumer goods,Automobiles,Chongqing,1983[5],Motorcycles,,,,,,,,
Lonking,Industrials,Commercial vehicles & trucks,Longyan,1993,Construction machinery,,,,,,,,
Mailman Group,Technology,Internet,Shanghai,1999,Technology and social media agency,,,,,,,,
Maoye International,Consumer services,Broadline retailers,Shenzhen,1996,Department stores,,,,,,,,
Meizu,Consumer goods,Telecommunications equipment,Zhuhai,2003,Mobile phones,,,,,,,,
Mengniu Dairy,Consumer goods,Food products,Hohhot,1995,"Dairy products, ice cream",,,,,,,,
Meters/bonwe,Consumer goods,Clothing & accessories,Shanghai,1995,Apparel,,,,,,,,
Midea Group,Consumer goods,Durable household products,Beijiao,1968,Appliances,,,,,,,,
Mingyang Wind Power,Utilities,Alternative electricity,Zhongshan,2006,Wind power,,,,,,,,
Miniso,Consumer services,Broadline retailers,Guangzhou,2011,Low-cost variety stores,,,,,,,,
Mr. Lee,Consumer services,Restaurants & bars,Beijing,1988,Fast food,,,,,,,,
Nanjing Automobile,Consumer goods,Automobiles,Nanjing,1947,State-owned automotive,,,,,,,,
Neusoft,Technology,Software,Shenyang,1991,Software,,,,,,,,
Ningbo Bird,Telecommunications,Mobile telecommunications,Fenghua District,1992,Mobile phones,,,,,,,,
Opple Lighting,Industrials,Building materials & fixtures,Zhongshan,1996,Lighting,,,,,,,,
